READ TERR 1 2
! WTSLEW
97.5077	0.2433	-0.2655	2.687326598e-08	3.042665054e-09	-2.943484104e-09
98.0191	0.2407	-0.2681	2.564506076e-08	2.992316536e-09	-2.877473544e-09
98.5107	0.2597	-0.2509	1.993209592e-08	2.575746514e-09	-2.53093357e-09
99.0469	0.2715	-0.2765	1.911152848e-08	2.383553458e-09	-2.33762111e-09
99.6392	0.2663	-0.3208	1.733452688e-08	2.276585586e-09	-2.199364684e-09
100.1962	0.2697	-0.2907	1.851087502e-08	2.373428662e-09	-2.292250972e-09
100.8368	0.3230	-0.3708	1.452595562e-08	1.945297596e-09	-1.866872018e-09
101.4583	0.2601	-0.2985	1.857017668e-08	2.377290146e-09	-2.298992058e-09
101.9851	0.2404	-0.2666	2.635104186e-08	2.961018368e-09	-2.920639568e-09
102.4558	0.2750	-0.2303	2.385448252e-08	2.801031794e-09	-2.77163678e-09
102.9705	0.2780	-0.2397	2.18494661e-08	2.655925184e-09	-2.590775704e-09
103.4946	0.2574	-0.2461	2.071972914e-08	2.69604566e-09	-2.576218018e-09
104.0087	0.2467	-0.2568	2.817042448e-08	3.16656109e-09	-2.990818006e-09
104.5224	0.2366	-0.2669	2.359383444e-08	2.739131428e-09	-2.708330262e-09
105.0154	0.2453	-0.2564	2.589287206e-08	2.993740662e-09	-2.89592699e-09
105.5067	0.2752	-0.2461	1.914560802e-08	2.612156822e-09	-2.491143314e-09
106.0867	0.2753	-0.3047	1.771659978e-08	2.273523318e-09	-2.219697458e-09
106.6179	0.2618	-0.256	1.984782712e-08	2.521792746e-09	-2.488167154e-09
107.1573	0.2276	-0.2776	2.033761026e-08	2.69203913e-09	-2.54779987e-09
107.7247	0.2741	-0.3397	1.706220824e-08	2.171987774e-09	-2.086022312e-09
108.3149	0.2656	-0.3161	1.758624648e-08	2.219843758e-09	-2.178501886e-09
108.8533	0.3481	-0.2728	1.630163216e-08	2.058019656e-09	-2.018945852e-09
109.4631	0.2899	-0.2617	1.817835184e-08	2.39949974e-09	-2.277413644e-09
110.0286	0.3079	-0.2756	1.68516909e-08	2.287245422e-09	-2.16473631e-09
110.6200	0.3036	-0.2835	1.658598084e-08	2.301692338e-09	-2.157524556e-09
111.2024	0.2230	-0.2788	2.108662864e-08	2.716379688e-09	-2.550953262e-09
111.7119	0.2294	-0.2865	1.980403744e-08	2.495363024e-09	-2.42288266e-09
112.2302	0.2448	-0.2889	1.924960224e-08	2.419374804e-09	-2.367621806e-09
112.7477	0.2326	-0.2726	2.09716661e-08	2.626370912e-09	-2.591797714e-09
113.2362	0.2689	-0.2559	2.480707108e-08	2.725660124e-09	-2.701774768e-09
113.7935	0.2169	-0.2884	2.305114086e-08	2.680747696e-09	-2.65646733e-09
114.2636	0.2770	-0.2532	1.854816898e-08	2.408099254e-09	-2.383871556e-09
114.7911	0.2708	-0.2505	1.904941368e-08	2.441934264e-09	-2.417531006e-09
115.3338	0.2511	-0.2719	2.06254994e-08	2.51339011e-09	-2.488825086e-09
115.8502	0.2382	-0.2653	2.040568574e-08	2.52108549e-09	-2.5053875e-09
116.3362	0.2557	-0.2477	2.373819492e-08	2.748175276e-09	-2.702932628e-09
116.8472	0.2465	-0.2552	2.351907096e-08	2.744882272e-09	-2.696120064e-09
117.3566	0.2423	-0.263	2.456010414e-08	2.766483258e-09	-2.740861112e-09
117.9077	0.3140	-0.3087	1.625503352e-08	2.025370094e-09	-2.011116294e-09
118.4590	0.2874	-0.2374	1.91027045e-08	2.424808386e-09	-2.394586568e-09
119.0576	0.2902	-0.3111	1.652917046e-08	2.180881142e-09	-2.16040374e-09
119.6319	0.3528	-0.2841	1.610225034e-08	2.03689519e-09	-2.017832718e-09
120.2600	0.3083	-0.2752	1.791164276e-08	2.245300794e-09	-2.19079025e-09
120.9301	0.3499	-0.3617	1.407861202e-08	1.922654536e-09	-1.839806518e-09
121.6203	0.3802	-0.3403	1.382463104e-08	1.842640976e-09	-1.800561752e-09
122.2829	0.2958	-0.2824	1.75673487e-08	2.268888952e-09	-2.231176574e-09
